Latitude,Longitude,Roll,Pitch,Yaw,Speed,Course,Altitude,Climb
0.0,0.0,-131.83,42.57,-107.37,0.0,0.0,0.0,0.0
0.0,0.0,-132.93,43.67,-108.82,0.0,0.0,0.0,0.0
0.0,0.0,-133.97,44.72,-110.21,0.0,0.0,0.0,0.0
0.0,0.0,-135.07,45.7,-111.62,0.0,0.0,0.0,0.0
0.0,0.0,-136.16,46.66,-113.03,0.0,0.0,0.0,0.0
0.0,0.0,-137.3,47.57,-114.46,0.0,0.0,0.0,0.0
0.0,0.0,-138.43,48.43,-115.87,0.0,0.0,0.0,0.0
0.0,0.0,-139.58,49.24,-117.26,0.0,0.0,0.0,0.0
0.0,0.0,-140.73,50.04,-118.67,0.0,0.0,0.0,0.0
0.0,0.0,-141.9,50.76,-120.06,0.0,0.0,0.0,0.0
0.0,0.0,-143.11,51.48,-121.48,0.0,0.0,0.0,0.0
0.0,0.0,-144.27,52.13,-122.84,0.0,0.0,0.0,0.0
0.0,0.0,-145.44,52.76,-124.22,0.0,0.0,0.0,0.0
0.0,0.0,-146.59,53.33,-125.54,0.0,0.0,0.0,0.0
0.0,0.0,-147.75,53.9,-126.88,0.0,0.0,0.0,0.0
0.0,0.0,-148.87,54.42,-128.17,0.0,0.0,0.0,0.0
0.0,0.0,-149.99,54.91,-129.46,0.0,0.0,0.0,0.0
0.0,0.0,-151.07,55.37,-130.71,0.0,0.0,0.0,0.0
0.0,0.0,-152.17,55.81,-131.95,0.0,0.0,0.0,0.0
0.0,0.0,-153.25,56.19,-133.17,0.0,0.0,0.0,0.0
0.0,0.0,-154.33,56.55,-134.38,0.0,0.0,0.0,0.0
0.0,0.0,-155.38,56.88,-135.55,0.0,0.0,0.0,0.0
0.0,0.0,-156.4,57.18,-136.69,0.0,0.0,0.0,0.0
0.0,0.0,-157.37,57.46,-137.76,0.0,0.0,0.0,0.0
0.0,0.0,-158.31,57.75,-138.83,0.0,0.0,0.0,0.0
0.0,0.0,-159.27,58.0,-139.89,0.0,0.0,0.0,0.0
0.0,0.0,-160.16,58.25,-140.88,0.0,0.0,0.0,0.0
0.0,0.0,-161.0,58.48,-141.82,0.0,0.0,0.0,0.0
0.0,0.0,-161.76,58.68,-142.65,0.0,0.0,0.0,0.0
0.0,0.0,-162.49,58.84,-143.45,0.0,0.0,0.0,0.0
0.0,0.0,-163.19,58.96,-144.2,0.0,0.0,0.0,0.0
0.0,0.0,-163.81,59.1,-144.89,0.0,0.0,0.0,0.0
0.0,0.0,-164.38,59.26,-145.53,0.0,0.0,0.0,0.0
0.0,0.0,-164.88,59.38,-146.1,0.0,0.0,0.0,0.0
0.0,0.0,-165.35,59.48,-146.61,0.0,0.0,0.0,0.0
0.0,0.0,-165.74,59.57,-147.05,0.0,0.0,0.0,0.0
0.0,0.0,-166.09,59.61,-147.43,0.0,0.0,0.0,0.0
0.0,0.0,-166.37,59.68,-147.73,0.0,0.0,0.0,0.0
0.0,0.0,-166.55,59.74,-147.96,0.0,0.0,0.0,0.0
0.0,0.0,-166.69,59.75,-148.1,0.0,0.0,0.0,0.0
0.0,0.0,-166.78,59.78,-148.22,0.0,0.0,0.0,0.0
0.0,0.0,-166.8,59.76,-148.23,0.0,0.0,0.0,0.0
0.0,0.0,-166.75,59.77,-148.18,0.0,0.0,0.0,0.0
0.0,0.0,-166.59,59.78,-148.04,0.0,0.0,0.0,0.0
0.0,0.0,-166.38,59.73,-147.81,0.0,0.0,0.0,0.0
0.0,0.0,-166.1,59.71,-147.56,0.0,0.0,0.0,0.0
0.0,0.0,-165.75,59.63,-147.19,0.0,0.0,0.0,0.0
0.0,0.0,-165.31,59.56,-146.75,0.0,0.0,0.0,0.0
0.0,0.0,-164.8,59.47,-146.19,0.0,0.0,0.0,0.0
0.0,0.0,-164.2,59.42,-145.6,0.0,0.0,0.0,0.0
0.0,0.0,-163.5,59.29,-144.86,0.0,0.0,0.0,0.0
0.0,0.0,-162.75,59.14,-144.09,0.0,0.0,0.0,0.0
0.0,0.0,-161.96,58.95,-143.25,0.0,0.0,0.0,0.0
0.0,0.0,-161.08,58.76,-142.35,0.0,0.0,0.0,0.0
0.0,0.0,-160.13,58.54,-141.36,0.0,0.0,0.0,0.0
0.0,0.0,-159.08,58.29,-140.25,0.0,0.0,0.0,0.0
0.0,0.0,-157.94,58.02,-139.07,0.0,0.0,0.0,0.0
